asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
11111,0,0,1,NaN%,NaN%,0,1
2658534,0,0,5,NaN%,NaN%,0,5
2665507,141,200,605,41%,59%,0,946
2666293,31,37,101,46%,54%,1,169
2666294,17,8,44,68%,32%,0,69
2666295,7,11,31,39%,61%,0,49
2666296,4,6,26,40%,60%,0,36
2666297,6,11,25,35%,65%,0,42
2666298,6,8,21,43%,57%,0,35
2666299,5,9,18,36%,64%,0,32
2666300,9,2,22,82%,18%,0,33
2666301,4,3,16,57%,43%,0,23
2666302,3,6,12,33%,67%,0,21
2666304,5,3,10,63%,38%,0,18
2666305,7,4,8,64%,36%,0,19
2666306,5,2,17,71%,29%,0,24
2666504,2,3,9,40%,60%,0,14
2666505,3,6,17,33%,67%,0,26
2666506,2,5,13,29%,71%,0,20
2666637,4,2,10,67%,33%,0,16
2666640,4,4,13,50%,50%,1,21
2666642,2,4,18,33%,67%,0,24
2666643,5,4,12,56%,44%,0,21
2666644,4,4,26,50%,50%,1,34
2666648,3,7,17,30%,70%,0,27
2678103,24,49,126,33%,67%,0,199
2678104,15,15,44,50%,50%,1,74
2678109,10,13,45,43%,57%,0,68
2678111,8,12,31,40%,60%,0,51
2678112,12,16,38,43%,57%,0,66
2678113,8,13,34,38%,62%,0,55
2678114,5,18,26,22%,78%,0,49
2678115,7,8,30,47%,53%,1,45
2678116,11,9,29,55%,45%,0,49
2678117,6,9,23,40%,60%,0,38
2678119,5,8,23,38%,62%,0,36
2678120,2,11,26,15%,85%,0,39
2678121,7,10,20,41%,59%,0,37
2678122,3,6,20,33%,67%,0,29
2678123,4,9,14,31%,69%,0,27
2678124,6,8,21,43%,57%,0,35
2678125,7,15,22,32%,68%,0,44
2678126,4,6,20,40%,60%,0,30
2678127,7,8,16,47%,53%,1,31
2678128,2,7,25,22%,78%,0,34
2678668,4,5,26,44%,56%,0,35
2678669,4,8,21,33%,67%,0,33
2678670,2,6,18,25%,75%,0,26
2678671,5,3,21,63%,38%,0,29
2678713,3,4,13,43%,57%,0,20
2678715,8,6,25,57%,43%,0,39
2678717,2,7,11,22%,78%,0,20
2678718,5,9,16,36%,64%,0,30
2678719,1,9,8,10%,90%,0,18
2678720,5,4,21,56%,44%,0,30
2678721,2,9,15,18%,82%,0,26
2678722,3,1,13,75%,25%,0,17
2678723,1,5,17,17%,83%,0,23
2678724,4,5,12,44%,56%,0,21
2678725,1,7,8,13%,88%,0,16
2678726,1,6,15,14%,86%,0,22
2678727,3,6,14,33%,67%,0,23
2678728,2,3,15,40%,60%,0,20
2678730,3,4,11,43%,57%,0,18
2678731,5,8,12,38%,62%,0,25
2678733,1,3,16,25%,75%,0,20
2678734,1,4,15,20%,80%,0,20
2678735,3,2,13,60%,40%,0,18
2678736,3,2,14,60%,40%,0,19
2678739,3,5,9,38%,63%,0,17
2678741,6,7,10,46%,54%,1,23
2678742,5,7,9,42%,58%,0,21
2678743,3,5,23,38%,63%,0,31
2678745,3,4,11,43%,57%,0,18
2678746,2,3,9,40%,60%,0,14
2678747,1,4,8,20%,80%,0,13
2678748,3,5,8,38%,63%,0,16
2678749,2,4,12,33%,67%,0,18
2678883,2,8,17,20%,80%,0,27
2679046,4,6,14,40%,60%,0,24
2679047,4,2,7,67%,33%,0,13
2679048,0,4,14,0%,100%,0,18
2679050,3,2,12,60%,40%,0,17
2679052,3,7,7,30%,70%,0,17
2679054,2,3,5,40%,60%,0,10
2679055,3,1,12,75%,25%,0,16
2679057,5,4,13,56%,44%,0,22
2679059,3,4,5,43%,57%,0,12
2679068,1,0,15,100%,0%,0,16
2679070,5,5,15,50%,50%,1,25
2679077,2,3,4,40%,60%,0,9
2679080,1,8,8,11%,89%,0,17
2679081,1,1,6,50%,50%,1,8
2679083,2,3,10,40%,60%,0,15
2679084,1,3,9,25%,75%,0,13
2679088,4,7,8,36%,64%,0,19
2679092,3,4,10,43%,57%,0,17
2679093,3,2,14,60%,40%,0,19
2679094,3,3,10,50%,50%,1,16
2679102,1,2,8,33%,67%,0,11
2679103,2,3,4,40%,60%,0,9
2679364,2,3,11,40%,60%,0,16
2679379,2,2,10,50%,50%,1,14
2679380,3,7,10,30%,70%,0,20
2679381,3,3,10,50%,50%,1,16
2679383,1,2,14,33%,67%,0,17
2679384,4,8,4,33%,67%,0,16
2679385,3,3,10,50%,50%,1,16
2679387,6,2,8,75%,25%,0,16
2679389,3,2,5,60%,40%,0,10
2679391,2,3,8,40%,60%,0,13
2679392,1,6,11,14%,86%,0,18
2679393,2,4,9,33%,67%,0,15
2679395,3,4,5,43%,57%,0,12
2679396,1,5,8,17%,83%,0,14
2679890,3,3,8,50%,50%,1,14
2679891,4,6,15,40%,60%,0,25
2679892,3,5,13,38%,63%,0,21
2679972,2,4,6,33%,67%,0,12
2679973,3,3,7,50%,50%,1,13
2679993,1,5,8,17%,83%,0,14
2679995,5,5,14,50%,50%,1,24
2679996,2,4,12,33%,67%,0,18
2679997,4,2,8,67%,33%,0,14
2681187,22,28,98,44%,56%,0,148
2681192,8,15,50,35%,65%,0,73
2681193,9,12,38,43%,57%,0,59
2681194,9,8,26,53%,47%,1,43
2681195,8,13,20,38%,62%,0,41
2681196,6,11,17,35%,65%,0,34
2681197,5,8,10,38%,62%,0,23
2681198,7,11,29,39%,61%,0,47
2681199,6,3,16,67%,33%,0,25
2681200,3,6,15,33%,67%,0,24
2681204,2,8,16,20%,80%,0,26
2681462,3,8,22,27%,73%,0,33
2681463,10,8,16,56%,44%,0,34
2681465,4,7,15,36%,64%,0,26
2681467,2,4,19,33%,67%,0,25
2681468,10,6,19,63%,38%,0,35
2681470,5,4,19,56%,44%,0,28
2681471,2,10,10,17%,83%,0,22
2681472,5,3,15,63%,38%,0,23
2681473,2,6,13,25%,75%,0,21
2681474,3,6,20,33%,67%,0,29
2681625,3,3,10,50%,50%,1,16
2682424,9,14,65,39%,61%,0,88
2682894,4,2,14,67%,33%,0,20
2682895,4,4,15,50%,50%,1,23
2682896,4,1,16,80%,20%,0,21
2682898,1,3,11,25%,75%,0,15
2682899,2,8,10,20%,80%,0,20
2682900,1,3,9,25%,75%,0,13
2682901,4,6,8,40%,60%,0,18
2682902,1,3,13,25%,75%,0,17
2682903,4,9,10,31%,69%,0,23
2682904,4,2,15,67%,33%,0,21
2682906,2,4,12,33%,67%,0,18
2682907,3,4,14,43%,57%,0,21
2682908,4,5,14,44%,56%,0,23
2682909,3,5,8,38%,63%,0,16
2682910,1,2,14,33%,67%,0,17
2684188,0,2,8,0%,100%,0,10
2684189,3,2,14,60%,40%,0,19
2684190,1,5,8,17%,83%,0,14
2684192,3,0,11,100%,0%,0,14
2684194,2,4,8,33%,67%,0,14
2684195,0,0,8,NaN%,NaN%,0,8
2684196,1,3,10,25%,75%,0,14
2684225,206,309,878,40%,60%,0,1393
2684226,84,125,385,40%,60%,0,594
2684227,74,96,337,44%,56%,0,507
2684228,59,98,286,38%,62%,0,443
2684229,62,76,266,45%,55%,0,404
2684230,59,71,233,45%,55%,1,363
2684231,68,66,239,51%,49%,1,373
2684233,53,83,174,39%,61%,0,310
2684234,44,88,217,33%,67%,0,349
2684318,44,74,204,37%,63%,0,322
2685881,46,71,175,39%,61%,0,292
2686089,41,64,184,39%,61%,0,289
2686090,47,55,179,46%,54%,1,281
2686093,42,73,199,37%,63%,0,314
2686095,37,72,177,34%,66%,0,286
2686097,41,56,184,42%,58%,0,281
2686098,43,64,185,40%,60%,0,292
2686104,49,47,155,51%,49%,1,251
2686105,48,63,152,43%,57%,0,263
2686108,39,55,164,41%,59%,0,258
2686311,5,2,10,71%,29%,0,17
2686313,4,4,8,50%,50%,1,16
2686314,2,5,10,29%,71%,0,17
2686640,63,65,166,49%,51%,1,294
2686642,13,23,81,36%,64%,0,117
2686644,12,27,63,31%,69%,0,102
2686653,48,63,173,43%,57%,0,284
2686654,31,66,163,32%,68%,0,260
2686656,38,53,154,42%,58%,0,245
2686657,40,64,138,38%,62%,0,242
2686658,27,46,157,37%,63%,0,230
2686659,28,49,154,36%,64%,0,231
2686660,39,45,146,46%,54%,1,230
2686661,33,38,138,46%,54%,1,209
2686663,33,53,155,38%,62%,0,241
2686664,26,39,147,40%,60%,0,212
2686778,28,52,142,35%,65%,0,222
2686781,28,47,156,37%,63%,0,231
2686783,25,40,156,38%,62%,0,221
2686785,29,41,142,41%,59%,0,212
2686788,18,45,153,29%,71%,0,216
2686792,23,50,125,32%,68%,0,198
2686816,42,46,127,48%,52%,1,215
2686817,26,40,111,39%,61%,0,177
2686818,26,48,135,35%,65%,0,209
2686821,31,41,144,43%,57%,0,216
2686822,34,49,131,41%,59%,0,214
2686826,29,32,138,48%,52%,1,199
2687041,1,1,13,50%,50%,1,15
2687042,2,3,12,40%,60%,0,17
2687043,1,6,9,14%,86%,0,16
2687044,1,3,14,25%,75%,0,18
2687045,4,0,10,100%,0%,0,14
2687046,1,2,8,33%,67%,0,11
2687230,27,45,111,38%,63%,0,183
2687247,32,31,111,51%,49%,1,174
2687250,32,57,136,36%,64%,0,225
2687251,26,38,134,41%,59%,0,198
2687298,38,36,133,51%,49%,1,207
2687299,27,54,127,33%,67%,0,208
2687300,31,38,126,45%,55%,0,195
2687304,27,50,123,35%,65%,0,200
2687583,28,51,129,35%,65%,0,208
2687584,24,36,111,40%,60%,0,171
2687585,23,40,107,37%,63%,0,170
2687586,30,40,121,43%,57%,0,191
2687587,17,36,126,32%,68%,0,179
2687590,18,48,132,27%,73%,0,198
2687592,24,38,100,39%,61%,0,162
2687594,36,34,108,51%,49%,1,178
2687595,25,26,86,49%,51%,1,137
2687596,27,35,111,44%,56%,0,173
2687597,23,31,94,43%,57%,0,148
2687598,21,33,102,39%,61%,0,156
2687599,24,45,95,35%,65%,0,164
2687600,20,42,112,32%,68%,0,174
2687601,20,37,109,35%,65%,0,166
2687602,19,34,102,36%,64%,0,155
2687603,31,40,106,44%,56%,0,177
2687604,30,42,113,42%,58%,0,185
2687605,24,36,107,40%,60%,0,167
2687606,21,30,99,41%,59%,0,150
2687607,24,38,109,39%,61%,0,171
2687608,20,33,104,38%,62%,0,157
2687609,23,40,110,37%,63%,0,173
2687611,22,30,97,42%,58%,0,149
2687612,25,21,109,54%,46%,1,155
2687613,21,35,109,38%,63%,0,165
2687614,21,32,109,40%,60%,0,162
2687616,25,35,105,42%,58%,0,165
2687617,18,35,104,34%,66%,0,157
2687618,36,31,121,54%,46%,1,188
2687619,21,28,119,43%,57%,0,168
2687620,27,38,119,42%,58%,0,184
2687621,19,39,114,33%,67%,0,172
2687622,29,30,88,49%,51%,1,147
2687623,19,22,94,46%,54%,1,135
2687625,20,35,79,36%,64%,0,134
2687628,27,25,108,52%,48%,1,160
2687630,17,33,95,34%,66%,0,145
2687631,18,26,93,41%,59%,0,137
2687632,14,40,84,26%,74%,0,138
2687635,16,39,85,29%,71%,0,140
2687636,20,26,98,43%,57%,0,144
2687637,19,22,79,46%,54%,1,120
2687638,16,37,85,30%,70%,0,138
2687642,17,36,78,32%,68%,0,131
2687643,21,30,93,41%,59%,0,144
2687645,17,33,85,34%,66%,0,135
2687646,15,20,117,43%,57%,0,152
2687647,19,29,75,40%,60%,0,123
2687648,15,34,90,31%,69%,0,139
2687649,24,22,113,52%,48%,1,159
2687651,31,30,104,51%,49%,1,165
2687653,15,31,91,33%,67%,0,137
2687655,26,30,108,46%,54%,1,164
2687656,14,34,100,29%,71%,0,148
2687657,28,37,90,43%,57%,0,155
2687661,23,34,104,40%,60%,0,161
2687662,20,33,114,38%,62%,0,167
2687663,22,23,95,49%,51%,1,140
2687665,19,47,85,29%,71%,0,151
2687666,18,28,91,39%,61%,0,137
2687667,19,38,101,33%,67%,0,158
2687668,19,23,88,45%,55%,1,130
2687670,20,31,86,39%,61%,0,137
2687671,15,31,74,33%,67%,0,120
2687672,8,29,91,22%,78%,0,128
2687673,25,27,75,48%,52%,1,127
2687674,19,21,82,48%,53%,1,122
2687675,9,34,81,21%,79%,0,124
2687676,21,25,83,46%,54%,1,129
2687677,27,27,69,50%,50%,1,123
2687678,15,21,80,42%,58%,0,116
2687679,21,28,85,43%,57%,0,134
2687680,16,23,87,41%,59%,0,126
2687681,21,20,82,51%,49%,1,123
2687682,15,27,77,36%,64%,0,119
2687683,18,36,80,33%,67%,0,134
2687685,27,21,87,56%,44%,0,135
2687687,17,33,77,34%,66%,0,127
2687688,12,32,87,27%,73%,0,131
2687689,22,23,76,49%,51%,1,121
2687690,17,31,66,35%,65%,0,114
2687691,11,29,71,28%,73%,0,111
2687693,13,26,59,33%,67%,0,98
2687694,18,23,73,44%,56%,0,114
2687698,23,19,80,55%,45%,1,122
2687699,15,24,76,38%,62%,0,115
2687700,24,25,73,49%,51%,1,122
2687702,13,25,71,34%,66%,0,109
2687703,14,17,60,45%,55%,1,91
2687705,16,26,80,38%,62%,0,122
2687706,17,22,81,44%,56%,0,120
2687708,23,25,75,48%,52%,1,123
2687710,13,30,71,30%,70%,0,114
2687711,16,21,70,43%,57%,0,107
2687713,14,19,76,42%,58%,0,109
2687715,14,26,72,35%,65%,0,112
2687952,17,27,65,39%,61%,0,109
2687953,13,19,62,41%,59%,0,94
2687954,16,21,90,43%,57%,0,127
2687955,30,22,77,58%,42%,0,129
2687956,13,31,83,30%,70%,0,127
2687959,18,28,89,39%,61%,0,135
2687964,16,19,85,46%,54%,1,120
2687967,19,26,75,42%,58%,0,120
2687968,12,23,80,34%,66%,0,115
2687969,22,21,88,51%,49%,1,131
2687970,23,20,75,53%,47%,1,118
2687971,18,28,76,39%,61%,0,122
2687973,27,34,78,44%,56%,0,139
2687974,15,34,79,31%,69%,0,128
2687976,25,34,81,42%,58%,0,140
2687978,13,34,79,28%,72%,0,126
2687979,21,34,83,38%,62%,0,138
2687981,23,21,86,52%,48%,1,130
2687982,21,18,87,54%,46%,1,126
2687983,17,19,86,47%,53%,1,122
2687986,20,22,62,48%,52%,1,104
2687987,12,23,92,34%,66%,0,127
2687988,25,28,69,47%,53%,1,122
2687989,18,32,86,36%,64%,0,136
2687991,14,26,70,35%,65%,0,110
2687992,18,16,86,53%,47%,1,120
2687993,13,31,74,30%,70%,0,118
2687994,22,28,75,44%,56%,0,125
2687995,14,25,84,36%,64%,0,123
2687996,11,23,85,32%,68%,0,119
2687997,16,29,84,36%,64%,0,129
2687999,8,19,80,30%,70%,0,107
2688001,17,26,73,40%,60%,0,116
2688004,13,23,76,36%,64%,0,112
2688005,14,22,64,39%,61%,0,100
2688006,18,21,75,46%,54%,1,114
2688007,11,29,70,28%,73%,0,110
2688008,13,27,70,33%,68%,0,110
2688009,13,21,71,38%,62%,0,105
2688012,12,19,74,39%,61%,0,105
2688014,18,25,84,42%,58%,0,127
2688015,16,19,81,46%,54%,1,116
2688016,6,31,77,16%,84%,0,114
2688017,15,33,90,31%,69%,0,138
2688018,11,23,70,32%,68%,0,104
2688019,21,26,83,45%,55%,0,130
2688021,21,39,88,35%,65%,0,148
2688022,20,31,97,39%,61%,0,148
2688023,18,22,74,45%,55%,0,114
2688024,16,21,78,43%,57%,0,115
2688025,14,25,78,36%,64%,0,117
2688026,26,21,88,55%,45%,0,135
2688027,19,28,89,40%,60%,0,136
2688031,18,22,60,45%,55%,0,100
2688032,21,27,72,44%,56%,0,120
2688033,13,33,82,28%,72%,0,128
2688034,19,23,75,45%,55%,1,117
2688035,24,32,79,43%,57%,0,135
2688036,12,29,83,29%,71%,0,124
2688038,18,33,72,35%,65%,0,123
2688039,19,28,79,40%,60%,0,126
2688040,14,24,86,37%,63%,0,124
2688041,13,28,101,32%,68%,0,142
2688042,25,28,94,47%,53%,1,147
2688043,18,21,74,46%,54%,1,113
2688044,17,20,76,46%,54%,1,113
2688045,18,25,70,42%,58%,0,113
2688047,16,27,75,37%,63%,0,118
2688048,15,21,68,42%,58%,0,104
2688049,16,29,73,36%,64%,0,118
2688050,18,31,78,37%,63%,0,127
2688051,13,31,81,30%,70%,0,125
2688052,13,28,85,32%,68%,0,126
2688053,20,28,74,42%,58%,0,122
2688057,19,32,74,37%,63%,0,125
2688058,15,26,77,37%,63%,0,118
2688059,13,21,77,38%,62%,0,111
2688060,6,33,79,15%,85%,0,118
2688061,16,18,67,47%,53%,1,101
2688062,25,23,78,52%,48%,1,126
2688063,13,23,63,36%,64%,0,99
2688066,15,26,68,37%,63%,0,109
2688069,12,26,68,32%,68%,0,106
2688072,16,21,65,43%,57%,0,102
2688074,17,23,77,43%,57%,0,117
2688076,12,20,82,38%,63%,0,114
2688078,22,23,83,49%,51%,1,128
2688079,11,19,74,37%,63%,0,104
2688081,17,29,76,37%,63%,0,122
2688082,14,27,58,34%,66%,0,99
2688083,11,23,83,32%,68%,0,117
2688089,18,30,62,38%,63%,0,110
2688090,11,30,73,27%,73%,0,114
2688091,14,21,63,40%,60%,0,98
2688092,22,21,91,51%,49%,1,134
2688093,15,15,60,50%,50%,1,90
2688095,14,12,63,54%,46%,1,89
2688097,15,27,64,36%,64%,0,106
2688098,17,19,62,47%,53%,1,98
2688099,13,19,70,41%,59%,0,102
2688100,15,13,61,54%,46%,1,89
2688264,21,34,85,38%,62%,0,140
2688265,11,10,43,52%,48%,1,64
2688266,6,9,37,40%,60%,0,52
2688267,3,11,29,21%,79%,0,43
2688268,4,8,29,33%,67%,0,41
2688269,7,8,31,47%,53%,1,46
2688270,10,5,19,67%,33%,0,34
2688271,5,4,18,56%,44%,0,27
2688273,7,11,19,39%,61%,0,37
2688274,9,4,19,69%,31%,0,32
2688275,3,4,18,43%,57%,0,25
2688276,7,6,17,54%,46%,1,30
2688277,3,9,16,25%,75%,0,28
2688278,2,6,18,25%,75%,0,26
2688289,2,7,15,22%,78%,0,24
2688290,9,4,17,69%,31%,0,30
2688444,3,1,10,75%,25%,0,14
2688445,13,12,58,52%,48%,1,83
2688446,13,22,56,37%,63%,0,91
2688447,19,26,53,42%,58%,0,98
2688448,11,18,65,38%,62%,0,94
2688449,8,11,58,42%,58%,0,77
2688450,14,18,52,44%,56%,0,84
2688451,17,7,42,71%,29%,0,66
2688452,8,12,62,40%,60%,0,82
2688453,15,19,42,44%,56%,0,76
2688547,13,22,58,37%,63%,0,93
2688550,9,10,36,47%,53%,1,55
2689030,1,2,14,33%,67%,0,17
2689170,4,4,11,50%,50%,1,19
2689171,4,6,15,40%,60%,0,25
2689172,4,6,20,40%,60%,0,30
2689173,6,6,9,50%,50%,1,21
2689174,6,3,12,67%,33%,0,21
2689175,5,7,12,42%,58%,0,24
2689176,4,5,10,44%,56%,0,19
2689177,4,7,14,36%,64%,0,25
2689178,6,4,10,60%,40%,0,20
2689179,5,4,16,56%,44%,0,25
2689180,1,4,14,20%,80%,0,19
2689181,2,4,10,33%,67%,0,16
2689182,0,1,12,0%,100%,0,13
2689183,1,2,15,33%,67%,0,18
2689184,4,2,8,67%,33%,0,14
2689185,4,8,15,33%,67%,0,27
2689186,6,2,13,75%,25%,0,21
2689187,2,6,14,25%,75%,0,22
2689188,1,2,9,33%,67%,0,12
2689190,5,3,8,63%,38%,0,16
2689191,2,5,11,29%,71%,0,18
2689192,1,4,12,20%,80%,0,17
2689193,3,2,11,60%,40%,0,16
2689194,0,4,3,0%,100%,0,7
2689195,13,23,49,36%,64%,0,85
2689196,13,18,36,42%,58%,0,67
2689197,17,7,34,71%,29%,0,58
2689198,7,17,42,29%,71%,0,66
2689199,7,13,23,35%,65%,0,43
2689201,7,9,36,44%,56%,0,52
2689202,9,10,36,47%,53%,1,55
2689203,8,9,32,47%,53%,1,49
2689204,4,16,40,20%,80%,0,60
2689206,10,7,42,59%,41%,0,59
2689207,5,13,32,28%,72%,0,50
2689208,7,13,17,35%,65%,0,37
2689210,7,8,35,47%,53%,1,50
2689211,6,7,28,46%,54%,1,41
2689293,3,5,10,38%,63%,0,18
2689294,4,2,16,67%,33%,0,22
2689295,3,3,14,50%,50%,1,20
2689297,3,4,15,43%,57%,0,22
2689298,4,3,9,57%,43%,0,16
2689299,1,3,4,25%,75%,0,8
2689403,3,7,27,30%,70%,0,37
2689573,5,11,28,31%,69%,0,44
2689574,4,18,25,18%,82%,0,47
2689575,8,7,27,53%,47%,1,42
2689576,4,7,32,36%,64%,0,43
2689579,11,7,29,61%,39%,0,47
2689580,3,5,21,38%,63%,0,29
2689583,3,8,29,27%,73%,0,40
2689584,3,9,24,25%,75%,0,36
2689586,7,9,28,44%,56%,0,44
2690013,5,4,18,56%,44%,0,27
2690014,2,6,9,25%,75%,0,17
2690015,3,7,11,30%,70%,0,21
2690016,1,6,9,14%,86%,0,16
2690018,2,1,12,67%,33%,0,15
2690019,4,3,11,57%,43%,0,18
2690022,2,7,10,22%,78%,0,19
2690024,3,4,11,43%,57%,0,18
2690025,3,4,14,43%,57%,0,21
2690026,5,3,11,63%,38%,0,19
2690027,2,2,11,50%,50%,1,15
2690136,6,6,28,50%,50%,1,40
2690138,3,6,28,33%,67%,0,37
2690141,5,11,27,31%,69%,0,43
2690143,8,9,21,47%,53%,1,38
2690144,4,4,20,50%,50%,1,28
2690168,5,9,19,36%,64%,0,33
2690465,2,5,11,29%,71%,0,18
2690466,2,4,10,33%,67%,0,16
2690467,3,3,12,50%,50%,1,18
2690468,4,2,11,67%,33%,0,17
2690469,1,3,6,25%,75%,0,10
2690470,3,1,14,75%,25%,0,18
2690471,5,3,17,63%,38%,0,25
2690472,4,0,9,100%,0%,0,13
2690480,5,4,10,56%,44%,0,19
2690512,5,7,10,42%,58%,0,22
2690515,9,9,16,50%,50%,1,34
2690516,4,3,15,57%,43%,0,22
2690517,1,12,19,8%,92%,0,32
2690518,4,5,18,44%,56%,0,27
2690519,4,9,31,31%,69%,0,44
2690521,3,4,21,43%,57%,0,28
2690522,10,8,29,56%,44%,0,47
2690523,7,10,21,41%,59%,0,38
2690525,4,6,19,40%,60%,0,29
2690526,9,5,27,64%,36%,0,41
2690527,2,6,20,25%,75%,0,28
2690529,10,10,24,50%,50%,1,44
2690590,3,11,22,21%,79%,0,36
2690595,5,8,23,38%,62%,0,36
2690596,5,6,27,45%,55%,1,38
2691414,3,4,9,43%,57%,0,16
2691415,2,5,8,29%,71%,0,15
2691416,3,5,7,38%,63%,0,15
2691417,3,4,10,43%,57%,0,17
2691418,5,8,12,38%,62%,0,25
2691419,3,8,12,27%,73%,0,23
2691420,4,5,10,44%,56%,0,19
2691422,5,3,12,63%,38%,0,20
2691423,1,1,16,50%,50%,1,18
2691424,4,3,6,57%,43%,0,13
2691425,2,2,12,50%,50%,1,16
2691427,3,3,10,50%,50%,1,16
2691429,3,3,7,50%,50%,1,13
2691430,1,4,16,20%,80%,0,21
2691431,2,0,14,100%,0%,0,16
2691432,4,8,11,33%,67%,0,23
2691433,3,3,11,50%,50%,1,17
2691434,1,2,10,33%,67%,0,13
2691435,2,5,19,29%,71%,0,26
2691436,3,11,16,21%,79%,0,30
2691437,5,5,15,50%,50%,1,25
2691438,6,9,17,40%,60%,0,32
2691439,5,8,29,38%,62%,0,42
2691440,7,6,33,54%,46%,1,46
2691441,2,8,22,20%,80%,0,32
2691442,1,8,24,11%,89%,0,33
2691444,7,7,21,50%,50%,1,35
2691445,6,9,19,40%,60%,0,34
2691447,4,10,20,29%,71%,0,34
2691448,4,7,16,36%,64%,0,27
2691449,4,11,13,27%,73%,0,28
2691450,7,6,18,54%,46%,1,31
2691451,7,10,23,41%,59%,0,40
2691453,4,15,23,21%,79%,0,42
2691454,7,8,20,47%,53%,1,35
2691456,6,7,27,46%,54%,1,40
2691457,3,13,27,19%,81%,0,43
2691459,8,6,17,57%,43%,0,31
2691460,4,9,20,31%,69%,0,33
2691461,4,8,23,33%,67%,0,35
2691462,4,10,20,29%,71%,0,34
2691463,6,13,25,32%,68%,0,44
2691465,5,10,22,33%,67%,0,37
2691467,9,10,22,47%,53%,1,41
2691479,6,5,12,55%,45%,1,23
2691480,2,4,15,33%,67%,0,21
2691481,5,1,11,83%,17%,0,17
2691483,3,4,15,43%,57%,0,22
2691484,0,7,15,0%,100%,0,22
2691498,8,3,3,73%,27%,0,14
2691499,3,1,11,75%,25%,0,15
2691500,2,2,13,50%,50%,1,17
2691501,3,5,12,38%,63%,0,20
2691502,4,3,19,57%,43%,0,26
2691503,2,4,11,33%,67%,0,17
2691514,3,0,8,100%,0%,0,11
2691608,6,9,17,40%,60%,0,32
2691609,3,5,29,38%,63%,0,37
2691611,5,15,24,25%,75%,0,44
2691612,7,10,21,41%,59%,0,38
2691616,3,9,24,25%,75%,0,36
2691617,4,12,25,25%,75%,0,41
2691619,13,7,24,65%,35%,0,44
2691620,5,6,17,45%,55%,1,28
2691621,3,8,17,27%,73%,0,28
2691717,8,1,10,89%,11%,0,19
2691718,1,6,9,14%,86%,0,16
2691719,2,4,16,33%,67%,0,22
2691720,2,1,14,67%,33%,0,17
2692085,5,3,6,63%,38%,0,14
2692086,3,4,13,43%,57%,0,20
2692156,10,11,21,48%,52%,1,42
2692158,6,12,18,33%,67%,0,36
2692159,5,7,22,42%,58%,0,34
2692162,4,9,19,31%,69%,0,32
2692164,3,9,21,25%,75%,0,33
2692166,3,5,15,38%,63%,0,23
2692167,6,7,18,46%,54%,1,31
2692169,1,7,18,13%,88%,0,26
2692170,5,11,18,31%,69%,0,34
2692171,6,6,15,50%,50%,1,27
2692173,1,1,22,50%,50%,1,24
2692174,6,5,23,55%,45%,1,34
2692175,2,7,20,22%,78%,0,29
2692177,2,6,22,25%,75%,0,30
2692178,4,6,25,40%,60%,0,35
2692179,5,13,20,28%,72%,0,38
2692279,4,5,12,44%,56%,0,21
2692285,5,7,30,42%,58%,0,42
2692464,6,11,37,35%,65%,0,54
2692465,5,9,24,36%,64%,0,38
2692466,2,13,29,13%,87%,0,44
2692467,4,2,19,67%,33%,0,25
2692468,1,14,26,7%,93%,0,41
2692527,6,12,23,33%,67%,0,41
2692530,9,12,17,43%,57%,0,38
2692531,7,11,26,39%,61%,0,44
2692532,6,5,15,55%,45%,1,26
2692559,6,2,7,75%,25%,0,15
2692560,2,1,11,67%,33%,0,14
2692561,3,5,13,38%,63%,0,21
2692563,6,8,11,43%,57%,0,25
2692564,3,8,11,27%,73%,0,22
2692585,3,4,18,43%,57%,0,25
2692987,6,12,33,33%,67%,0,51
2694413,5,0,9,100%,0%,0,14
2694414,2,4,8,33%,67%,0,14
2694471,40,65,176,38%,62%,0,281
2695425,36,54,198,40%,60%,0,288
2695426,12,26,78,32%,68%,0,116
2695427,18,17,58,51%,49%,1,93
2695428,15,13,45,54%,46%,1,73
2695429,20,16,53,56%,44%,0,89
2695430,7,12,45,37%,63%,0,64
2695432,6,11,26,35%,65%,0,43
2695434,14,9,26,61%,39%,0,49
2695435,10,15,26,40%,60%,0,51
2695436,13,11,29,54%,46%,1,53
2695439,6,12,27,33%,67%,0,45
2695440,8,11,30,42%,58%,0,49
2695441,6,14,21,30%,70%,0,41
2695442,8,10,17,44%,56%,0,35
2695443,5,6,23,45%,55%,1,34
2695463,11,6,23,65%,35%,0,40
2695464,4,10,18,29%,71%,0,32
2695465,7,4,32,64%,36%,0,43
2695467,4,3,23,57%,43%,0,30
2695468,3,4,14,43%,57%,0,21
2695469,2,7,25,22%,78%,0,34
2695471,8,3,21,73%,27%,0,32
2695472,3,5,16,38%,63%,0,24
2695475,6,6,14,50%,50%,1,26
2695476,2,5,18,29%,71%,0,25
2695477,5,7,7,42%,58%,0,19
2695478,4,5,16,44%,56%,0,25
2695480,2,7,20,22%,78%,0,29
2695481,4,3,13,57%,43%,0,20
2695781,4,7,7,36%,64%,0,18
2695782,1,6,19,14%,86%,0,26
2695783,2,6,17,25%,75%,0,25
2695784,4,6,8,40%,60%,0,18
2695785,3,4,11,43%,57%,0,18
2695787,3,3,4,50%,50%,1,10
